lat,lon,Straßenname,Anzahl Fußgänger pro Tag,Anzahl Fahrradfahrer pro Tag,Durchschnittliche tägl. Verkehrsstärke unmotorisiert (DTV),Anzahl PKW pro Tag,"Anzahl schwere  LKW (> 3,5t) pro Tag","Anzahl leichte LKW (< 3,5t) pro Tag",Anzahl Motorräder pro Tag,Anzahl Busse pro Tag,Durchschnittliche tägl. Verkehrsstärke motorisiert (DTVm),Entsprechend Legende in der Karte (für uns zur Orientierung),NACHTS,pedestrian_night,bike_night,mean_unmotorized_night,car_night,truck_night,van_night,motorbike_night,bus_night,mean_motorized_night
52.54477,13.42738,Prenzlauer Allee,34536.0,3126.0,37662.0,17623.0,485.0,1597.0,283.0,222.0,20210.0,20>30,,1726.8,31.26,1758.06,881.15,4.85,23.955,5.66,8.0,923.615
52.54566,13.42777,Prenzlauer Allee,34536.0,3126.0,37662.0,17623.0,485.0,1597.0,283.0,222.0,20210.0,20>30,,1726.8,31.26,1758.06,881.15,4.85,23.955,5.66,8.0,923.615
52.54587,13.42785,Prenzlauer Allee,42534.0,4368.0,46902.0,22424.0,641.0,2025.0,359.0,179.0,25628.0,20>30,,2126.7,43.68,2170.3799999999997,1121.2,6.41,30.375,7.18,8.0,1173.1650000000002
52.54673,13.42811,Prenzlauer Allee,42534.0,4368.0,46902.0,22424.0,641.0,2025.0,359.0,179.0,25628.0,20>30,,2126.7,43.68,2170.3799999999997,1121.2,6.41,30.375,7.18,8.0,1173.1650000000002
52.54751,13.4285,Prenzlauer Allee,42534.0,4368.0,46902.0,22424.0,641.0,2025.0,359.0,179.0,25628.0,20>30,,2126.7,43.68,2170.3799999999997,1121.2,6.41,30.375,7.18,8.0,1173.1650000000002
52.54788,13.42871,Prenzlauer Allee,43205.0,4423.0,47628.0,23298.0,939.0,2040.0,268.0,295.0,26840.0,20>30,,2160.25,44.23,2204.48,1164.9,9.39,30.6,5.36,8.0,1218.25
52.54882,13.42901,Prenzlauer Allee,43205.0,4423.0,47628.0,23298.0,939.0,2040.0,268.0,295.0,26840.0,20>30,,2160.25,44.23,2204.48,1164.9,9.39,30.6,5.36,8.0,1218.25
52.54929,13.42927,Prenzlauer Allee,42987.0,4376.0,47363.0,22673.0,969.0,1990.0,262.0,288.0,26182.0,20>30,,2149.35,43.76,2193.11,1133.65,9.69,29.85,5.24,8.0,1186.43
52.54997,13.42966,Prenzlauer Allee,42987.0,4376.0,47363.0,22673.0,969.0,1990.0,262.0,288.0,26182.0,20>30,,2149.35,43.76,2193.11,1133.65,9.69,29.85,5.24,8.0,1186.43
52.55099,13.43004,Prenzlauer Allee,42987.0,4376.0,47363.0,22673.0,969.0,1990.0,262.0,288.0,26182.0,20>30,,2149.35,43.76,2193.11,1133.65,9.69,29.85,5.24,8.0,1186.43
52.5514,13.43026,Prenzlauer Allee,43125.0,4301.0,47426.0,22270.0,820.0,2025.0,359.0,154.0,25628.0,20>30,,2156.25,43.01,2199.26,1113.5,8.2,30.375,7.18,8.0,1167.255
52.55187,13.43039,Prenzlauer Allee,43125.0,4301.0,47426.0,22270.0,820.0,2025.0,359.0,154.0,25628.0,20>30,,2156.25,43.01,2199.26,1113.5,8.2,30.375,7.18,8.0,1167.255
52.55268,13.43013,Prenzlauer Allee,43987.0,4410.0,48397.0,23273.0,857.0,2116.0,375.0,161.0,26782.0,20>30,,2199.35,44.1,2243.45,1163.65,8.57,31.74,7.5,8.0,1219.46
52.55286,13.43008,Prenzlauer Allee,43987.0,4410.0,48397.0,23273.0,857.0,2116.0,375.0,161.0,26782.0,20>30,,2199.35,44.1,2243.45,1163.65,8.57,31.74,7.5,8.0,1219.46
52.53311,13.40434,Kastanienallee,2834.0,367.0,3201.0,1593.0,71.0,151.0,19.0,74.0,1908.0,<5,,141.7,3.67,145.36999999999998,79.65,0.71,2.265,0.38,4.0,87.005
52.53371,13.40481,Kastanienallee,2357.0,312.0,2669.0,1071.0,46.0,103.0,13.0,74.0,1307.0,<5,,117.85,3.12,120.97,53.55,0.46,1.545,0.26,4.0,59.815
52.5341,13.40519,Kastanienallee,2268.0,304.0,2572.0,1051.0,41.0,101.0,13.0,74.0,1280.0,<5,,113.4,3.04,116.44000000000001,52.55,0.41,1.515,0.26,4.0,58.73499999999999
52.53436,13.40549,Kastanienallee,1968.0,299.0,2267.0,1038.0,54.0,101.0,13.0,74.0,1280.0,<5,,98.4,2.99,101.39,51.9,0.54,1.515,0.26,4.0,58.214999999999996
52.5347,13.40575,Kastanienallee,10128.0,1080.0,11208.0,4948.0,239.0,445.0,57.0,11.0,5700.0,5>10,,506.4,10.8,517.1999999999999,247.4,2.39,6.675,1.14,0.0,257.60499999999996
52.53504,13.4061,Kastanienallee,10128.0,1080.0,11208.0,4948.0,239.0,445.0,57.0,11.0,5700.0,5>10,,506.4,10.8,517.1999999999999,247.4,2.39,6.675,1.14,0.0,257.60499999999996
52.53551,13.40652,Kastanienallee,10128.0,1080.0,11208.0,4948.0,239.0,445.0,57.0,11.0,5700.0,5>10,,506.4,10.8,517.1999999999999,247.4,2.39,6.675,1.14,0.0,257.60499999999996
52.53587,13.40687,Kastanienallee,4185.0,654.0,4839.0,2154.0,98.0,198.0,25.0,38.0,2513.0,<5,,209.25,6.54,215.79,107.7,0.98,2.97,0.5,4.0,116.15
52.53603,13.407,Kastanienallee,4185.0,654.0,4839.0,2154.0,98.0,198.0,25.0,38.0,2513.0,,,209.25,6.54,215.79,107.7,0.98,2.97,0.5,4.0,116.15
52.53627,13.40725,Kastanienallee,16247.0,1927.0,18174.0,7389.0,286.0,657.0,84.0,8.0,8424.0,5>10,,812.35,19.27,831.62,369.45,2.86,9.855,1.68,0.0,383.845
52.53668,13.40768,Kastanienallee,16247.0,1927.0,18174.0,7389.0,286.0,657.0,84.0,8.0,8424.0,5>10,,812.35,19.27,831.62,369.45,2.86,9.855,1.68,0.0,383.845
52.53728,13.40833,Kastanienallee,16247.0,1927.0,18174.0,7389.0,286.0,657.0,84.0,8.0,8424.0,5>10,,812.35,19.27,831.62,369.45,2.86,9.855,1.68,0.0,383.845
52.5376,13.40863,Kastanienallee,16247.0,1927.0,18174.0,7389.0,286.0,657.0,84.0,8.0,8424.0,5>10,,812.35,19.27,831.62,369.45,2.86,9.855,1.68,0.0,383.845
52.53799,13.40901,Kastanienallee,16247.0,1927.0,18174.0,7389.0,286.0,657.0,84.0,8.0,8424.0,5>10,,812.35,19.27,831.62,369.45,2.86,9.855,1.68,0.0,383.845
52.53838,13.40944,Kastanienallee,10528.0,1517.0,12045.0,5617.0,272.0,504.0,65.0,6.0,6464.0,5>10,,526.4,15.17,541.5699999999999,280.85,2.72,7.56,1.3,0.0,292.43000000000006
52.53882,13.40996,Kastanienallee,10528.0,1517.0,12045.0,5617.0,272.0,504.0,65.0,6.0,6464.0,5>10,,526.4,15.17,541.5699999999999,280.85,2.72,7.56,1.3,0.0,292.43000000000006
52.53927,13.41039,Kastanienallee,10528.0,1517.0,12045.0,5617.0,272.0,504.0,65.0,6.0,6464.0,5>10,,526.4,15.17,541.5699999999999,280.85,2.72,7.56,1.3,0.0,292.43000000000006
52.53963,13.41082,Kastanienallee,10528.0,1517.0,12045.0,5617.0,272.0,504.0,65.0,6.0,6464.0,5>10,,526.4,15.17,541.5699999999999,280.85,2.72,7.56,1.3,0.0,292.43000000000006
52.54002,13.41125,Kastanienallee,10528.0,1517.0,12045.0,5617.0,272.0,504.0,65.0,6.0,6464.0,5>10,,526.4,15.17,541.5699999999999,280.85,2.72,7.56,1.3,0.0,292.43000000000006
52.54029,13.4115,Kastanienallee,10528.0,1517.0,12045.0,5617.0,272.0,504.0,65.0,6.0,6464.0,5>10,,526.4,15.17,541.5699999999999,280.85,2.72,7.56,1.3,0.0,292.43000000000006
52.54055,13.4118,Kastanienallee,10528.0,1517.0,12045.0,5617.0,272.0,504.0,65.0,6.0,6464.0,5>10,,526.4,15.17,541.5699999999999,280.85,2.72,7.56,1.3,0.0,292.43000000000006
52.54081,13.4121,Kastanienallee,10528.0,1517.0,12045.0,5617.0,272.0,504.0,65.0,6.0,6464.0,5>10,,526.4,15.17,541.5699999999999,280.85,2.72,7.56,1.3,0.0,292.43000000000006
52.54107,13.41223,Kastanienallee,10528.0,1517.0,12045.0,5617.0,272.0,504.0,65.0,6.0,6464.0,5>10,,526.4,15.17,541.5699999999999,280.85,2.72,7.56,1.3,0.0,292.43000000000006
52.54128,13.41245,Kastanienallee,10528.0,1517.0,12045.0,5617.0,272.0,504.0,65.0,6.0,6464.0,5>10,,526.4,15.17,541.5699999999999,280.85,2.72,7.56,1.3,0.0,292.43000000000006
52.54149,13.4127,Pappelallee,13754.0,1927.0,15681.0,7389.0,286.0,657.0,84.0,8.0,8424.0,5>10,,687.7,19.27,706.97,369.45,2.86,9.855,1.68,0.0,383.845
52.54159,13.41288,Pappelallee,13754.0,1927.0,15681.0,7389.0,286.0,657.0,84.0,8.0,8424.0,5>10,,687.7,19.27,706.97,369.45,2.86,9.855,1.68,0.0,383.845
52.54344,13.41498,Pappelallee,12874.0,1798.0,14672.0,6667.0,552.0,592.0,112.0,72.0,7995.0,5>10,,643.7,17.98,661.6800000000001,333.35,5.52,8.88,2.24,4.0,353.99
52.54352,13.41498,Pappelallee,12874.0,1798.0,14672.0,6667.0,552.0,592.0,112.0,72.0,7995.0,5>10,,643.7,17.98,661.6800000000001,333.35,5.52,8.88,2.24,4.0,353.99
52.54457,13.41609,Pappelallee,14928.0,1902.0,16830.0,7363.0,628.0,654.0,124.0,71.0,8840.0,5>10,,746.4,19.02,765.42,368.15,6.28,9.81,2.48,4.0,390.71999999999997
52.54537,13.41704,Pappelallee,14928.0,1902.0,16830.0,7363.0,628.0,654.0,124.0,71.0,8840.0,5>10,,746.4,19.02,765.42,368.15,6.28,9.81,2.48,4.0,390.71999999999997
